,YEAR,HR,DT,MN,DPT,WBT,DBT,Normal_Temp,Heatwave,Heatwave_Days
31,2010,12,1,1,13.4,17.4,23.0,30.4,0,0
32,2010,12,2,1,16.6,19.4,23.8,30.4,0,0
33,2010,12,3,1,20.2,21.8,24.8,30.4,0,0
34,2010,12,4,1,17.2,19.2,22.4,30.4,0,0
35,2010,12,5,1,17.6,18.6,20.2,30.4,0,0
36,2010,12,6,1,15.7,18.8,23.6,30.4,0,0
37,2010,12,7,1,13.8,18.0,24.0,30.4,0,0
38,2010,12,8,1,14.0,18.0,23.8,30.4,0,0
39,2010,12,9,1,13.7,17.4,22.6,30.4,0,0
40,2010,12,10,1,13.8,17.4,22.4,30.4,0,0
41,2010,12,11,1,17.2,19.2,22.4,30.4,0,0
42,2010,12,12,1,21.5,22.6,24.8,30.4,0,0
43,2010,12,13,1,14.1,17.0,21.0,30.4,0,0
44,2010,12,14,1,10.8,13.2,16.0,30.4,0,0
45,2010,12,15,1,12.5,17.4,24.0,30.4,0,0
46,2010,12,16,1,17.4,20.4,25.4,30.4,0,0
47,2010,12,17,1,16.9,18.4,20.8,30.4,0,0
48,2010,12,18,1,18.5,20.0,22.6,30.4,0,0
49,2010,12,19,1,16.7,17.6,19.0,30.4,0,0
50,2010,12,20,1,13.8,17.4,22.4,30.4,0,0
51,2010,12,21,1,12.5,17.4,24.0,30.4,0,0
52,2010,12,22,1,13.7,17.0,21.6,30.4,0,0
53,2010,12,23,1,14.1,16.6,20.0,30.4,0,0
54,2010,12,24,1,16.6,18.0,20.2,30.4,0,0
55,2010,12,25,1,13.9,16.0,18.8,30.4,0,0
56,2010,12,26,1,9.5,16.0,23.8,30.4,0,0
57,2010,12,27,1,11.5,17.0,24.2,30.4,0,0
58,2010,12,28,1,13.8,17.0,21.4,30.4,0,0
59,2010,12,29,1,14.2,16.2,19.0,30.4,0,0
60,2010,12,30,1,14.0,17.4,22.0,30.4,0,0
61,2010,12,31,1,15.9,17.6,20.2,30.4,0,0
62,2010,24,1,1,14.6,20.4,29.4,30.4,0,0
63,2010,24,2,1,15.4,21.4,31.2,30.4,0,0
64,2010,24,3,1,19.5,23.0,29.6,30.4,0,0
65,2010,24,4,1,17.1,21.0,27.6,30.4,0,0
66,2010,24,5,1,16.8,21.0,28.0,30.4,0,0
67,2010,24,6,1,16.4,21.2,29.2,30.4,0,0
68,2010,24,7,1,14.2,20.4,30.0,30.4,0,0
69,2010,24,8,1,11.9,19.4,30.0,30.4,0,0
70,2010,24,9,1,12.7,19.4,29.0,30.4,0,0
71,2010,24,10,1,13.8,19.8,28.8,30.4,0,0
72,2010,24,11,1,15.5,21.4,31.0,30.4,0,0
73,2010,24,12,1,19.4,22.8,29.2,30.4,0,0
74,2010,24,13,1,10.4,17.8,27.4,30.4,0,0
75,2010,24,14,1,9.3,17.2,27.0,30.4,0,0
76,2010,24,15,1,15.3,21.0,30.2,30.4,0,0
77,2010,24,16,1,18.7,23.0,31.0,30.4,0,0
78,2010,24,17,1,14.8,21.2,31.4,30.4,0,0
79,2010,24,18,1,14.5,20.0,28.4,30.4,0,0
80,2010,24,19,1,15.9,21.0,29.4,30.4,0,0
81,2010,24,20,1,12.9,19.4,29.4,30.4,0,0
82,2010,24,21,1,10.4,19.4,31.6,30.4,0,0
83,2010,24,22,1,10.0,18.8,30.4,30.4,0,0
84,2010,24,23,1,12.1,19.4,29.8,30.4,0,0
85,2010,24,24,1,14.9,20.4,29.0,30.4,0,0
86,2010,24,25,1,11.3,19.0,29.6,30.4,0,0
87,2010,24,26,1,12.1,19.8,30.8,30.4,0,0
88,2010,24,27,1,12.4,19.4,29.4,30.4,0,0
89,2010,24,28,1,10.0,18.8,30.4,30.4,0,0
90,2010,24,29,1,11.5,19.4,30.4,30.4,0,0
91,2010,24,30,1,11.0,19.4,31.0,30.4,0,0
92,2010,24,31,1,13.0,20.4,31.4,30.4,0,0
93,2010,36,1,1,17.7,23.0,32.6,30.4,0,0
94,2010,36,2,1,17.6,23.4,34.4,30.4,0,0
95,2010,36,3,1,21.3,24.6,31.4,30.4,0,0
96,2010,36,4,1,19.0,22.4,28.6,30.4,0,0
97,2010,36,5,1,19.8,23.4,30.4,30.4,0,0
98,2010,36,6,1,16.6,22.4,32.4,30.4,0,0
99,2010,36,7,1,11.5,20.4,33.2,30.4,0,0
100,2010,36,8,1,15.5,21.6,31.6,30.4,0,0
101,2010,36,9,1,13.2,20.4,31.2,30.4,0,0
102,2010,36,10,1,14.4,21.4,32.6,30.4,0,0
103,2010,36,11,1,20.3,23.8,30.8,30.4,0,0
104,2010,36,12,1,21.0,23.8,29.4,30.4,0,0
105,2010,36,13,1,10.4,18.2,28.4,30.4,0,0
106,2010,36,14,1,14.6,20.4,29.4,30.4,0,0
107,2010,36,15,1,18.3,23.0,31.6,30.4,0,0
108,2010,36,16,1,12.8,21.0,33.4,30.4,0,0
109,2010,36,17,1,11.0,20.0,32.6,30.4,0,0
110,2010,36,18,1,18.2,22.4,30.0,30.4,0,0
111,2010,36,19,1,14.0,21.4,33.0,30.4,0,0
112,2010,36,20,1,12.5,20.8,33.2,30.4,0,0
113,2010,36,21,1,14.5,21.4,32.4,30.4,0,0
114,2010,36,22,1,16.2,22.0,31.8,30.4,0,0
115,2010,36,23,1,14.8,21.2,31.4,30.4,0,0
116,2010,36,24,1,16.6,21.8,30.6,30.4,0,0
117,2010,36,25,1,16.9,22.2,31.4,30.4,0,0
118,2010,36,26,1,12.8,21.2,34.0,30.4,0,0
119,2010,36,27,1,15.9,21.0,29.4,30.4,0,0
120,2010,36,28,1,9.4,19.4,32.6,30.4,0,0
121,2010,36,29,1,14.7,21.2,31.6,30.4,0,0
122,2010,36,30,1,11.9,21.0,34.4,30.4,0,0
123,2010,36,31,1,18.2,22.6,30.6,30.4,0,0
124,2010,48,1,1,16.9,21.4,29.0,30.4,0,0
125,2010,48,2,1,19.6,23.2,30.0,30.4,0,0
126,2010,48,3,1,19.6,22.0,26.4,30.4,0,0
127,2010,48,4,1,17.7,21.0,26.6,30.4,0,0
128,2010,48,5,1,18.7,22.0,28.0,30.4,0,0
129,2010,48,6,1,19.9,23.0,29.0,30.4,0,0
130,2010,48,7,1,18.8,22.4,29.0,30.4,0,0
131,2010,48,8,1,17.7,21.4,27.8,30.4,0,0
132,2010,48,9,1,13.3,20.0,30.0,30.4,0,0
133,2010,48,10,1,17.6,22.0,29.8,30.4,0,0
134,2010,48,11,1,19.4,23.0,29.8,30.4,0,0
135,2010,48,12,1,20.2,22.6,27.2,30.4,0,0
136,2010,48,13,1,10.4,17.4,26.4,30.4,0,0
137,2010,48,14,1,15.7,20.4,28.0,30.4,0,0
138,2010,48,15,1,17.7,21.8,29.0,30.4,0,0
139,2010,48,16,1,18.8,23.4,32.0,30.4,0,0
140,2010,48,17,1,12.4,20.0,31.0,30.4,0,0
141,2010,48,18,1,18.2,21.6,27.6,30.4,0,0
142,2010,48,19,1,14.3,20.6,30.4,30.4,0,0
143,2010,48,20,1,13.2,20.2,30.6,30.4,0,0
144,2010,48,21,1,18.4,22.2,29.0,30.4,0,0
145,2010,48,22,1,16.1,21.2,29.6,30.4,0,0
146,2010,48,23,1,11.8,19.0,29.0,30.4,0,0
147,2010,48,24,1,17.1,21.2,28.2,30.4,0,0
148,2010,48,25,1,14.2,20.0,28.8,30.4,0,0
149,2010,48,26,1,12.9,20.0,30.4,30.4,0,0
150,2010,48,27,1,14.3,20.4,29.8,30.4,0,0
151,2010,48,28,1,13.6,20.0,29.6,30.4,0,0
152,2010,48,29,1,14.6,20.4,29.4,30.4,0,0
153,2010,48,30,1,15.5,20.8,29.4,30.4,0,0
154,2010,48,31,1,14.8,21.0,30.8,30.4,0,0
155,2010,60,1,1,17.0,20.6,26.6,30.4,0,0
156,2010,60,2,1,20.4,22.8,27.4,30.4,0,0
157,2010,60,3,1,18.9,21.4,25.8,30.4,0,0
158,2010,60,4,1,19.4,21.2,24.4,30.4,0,0
159,2010,60,5,1,20.4,22.0,25.0,30.4,0,0
160,2010,60,6,1,18.1,21.0,26.0,30.4,0,0
161,2010,60,7,1,18.4,21.0,25.6,30.4,0,0
162,2010,60,8,1,15.5,19.4,25.4,30.4,0,0
163,2010,60,9,1,16.3,20.0,26.0,30.4,0,0
164,2010,60,10,1,17.0,20.6,26.6,30.4,0,0
165,2010,60,11,1,21.9,23.4,26.4,30.4,0,0
166,2010,60,12,1,18.7,21.2,25.6,30.4,0,0
167,2010,60,13,1,8.8,15.4,23.0,30.4,0,0
168,2010,60,14,1,15.0,19.0,25.0,30.4,0,0
169,2010,60,15,1,18.0,21.2,26.8,30.4,0,0
170,2010,60,16,1,18.3,21.6,27.4,30.4,0,0
171,2010,60,17,1,12.6,18.6,27.0,30.4,0,0
172,2010,60,18,1,15.8,19.6,25.6,30.4,0,0
173,2010,60,19,1,16.1,20.2,26.8,30.4,0,0
174,2010,60,20,1,14.5,19.6,27.4,30.4,0,0
175,2010,60,21,1,13.8,19.0,26.6,30.4,0,0
176,2010,60,22,1,18.9,21.4,25.8,30.4,0,0
177,2010,60,23,1,20.2,22.0,25.4,30.4,0,0
178,2010,60,24,1,16.7,20.0,25.4,30.4,0,0
179,2010,60,25,1,19.9,21.6,24.8,30.4,0,0
180,2010,60,26,1,15.1,19.6,26.6,30.4,0,0
181,2010,60,27,1,14.3,19.4,27.0,30.4,0,0
182,2010,60,28,1,10.7,17.6,26.6,30.4,0,0
183,2010,60,29,1,15.2,19.6,26.4,30.4,0,0
184,2010,60,30,1,14.6,19.6,27.2,30.4,0,0
185,2010,60,31,1,15.9,20.0,26.6,30.4,0,0
186,2010,72,1,1,17.9,20.0,23.6,30.4,0,0
187,2010,72,2,1,21.1,22.4,25.0,30.4,0,0
188,2010,72,3,1,18.4,20.6,24.4,30.4,0,0
189,2010,72,4,1,19.7,20.8,22.8,30.4,0,0
190,2010,72,5,1,19.3,20.2,21.8,30.4,0,0
191,2010,72,6,1,18.2,20.0,23.0,30.4,0,0
192,2010,72,7,1,17.9,20.0,23.6,30.4,0,0
193,2010,72,8,1,16.4,18.6,22.0,30.4,0,0
194,2010,72,9,1,18.1,19.8,22.6,30.4,0,0
195,2010,72,10,1,18.1,20.0,23.2,30.4,0,0
196,2010,72,11,1,20.4,21.8,24.4,30.4,0,0
197,2010,72,12,1,19.5,21.2,24.2,30.4,0,0
198,2010,72,13,1,11.2,15.2,20.6,30.4,0,0
199,2010,72,14,1,16.2,18.2,21.2,30.4,0,0
200,2010,72,15,1,19.1,21.0,24.4,30.4,0,0
201,2010,72,16,1,18.1,20.0,23.2,30.4,0,0
202,2010,72,17,1,15.3,18.0,22.0,30.4,0,0
203,2010,72,18,1,17.5,19.2,22.0,30.4,0,0
204,2010,72,19,1,14.9,18.4,23.6,30.4,0,0
205,2010,72,20,1,16.5,19.4,24.0,30.4,0,0
206,2010,72,21,1,16.0,18.4,22.0,30.4,0,0
207,2010,72,22,1,17.5,19.4,22.6,30.4,0,0
208,2010,72,23,1,19.2,20.6,23.0,30.4,0,0
209,2010,72,24,1,16.2,18.2,21.2,30.4,0,0
210,2010,72,26,1,14.7,18.0,22.8,30.4,0,0
211,2010,72,27,1,13.5,17.4,22.8,30.4,0,0
212,2010,72,28,1,12.0,16.0,21.2,30.4,0,0
213,2010,72,29,1,16.5,19.0,23.0,30.4,0,0
214,2010,72,30,1,16.5,19.0,23.0,30.4,0,0
215,2010,72,31,1,15.4,18.2,22.4,30.4,0,0
216,2010,84,1,1,16.4,18.0,20.4,30.4,0,0
217,2010,84,2,1,17.1,19.0,22.0,30.4,0,0
218,2010,84,3,1,20.0,21.4,24.0,30.4,0,0
219,2010,84,4,1,18.0,19.4,21.8,30.4,0,0
220,2010,84,5,1,18.0,19.0,20.6,30.4,0,0
221,2010,84,6,1,18.8,19.4,20.4,30.4,0,0
222,2010,84,7,1,15.2,18.8,24.2,30.4,0,0
223,2010,84,8,1,17.5,19.4,22.6,30.4,0,0
224,2010,84,9,1,16.4,17.8,20.0,30.4,0,0
225,2010,84,10,1,16.1,17.6,19.8,30.4,0,0
226,2010,84,11,1,18.0,19.4,21.8,30.4,0,0
227,2010,84,12,1,21.8,22.8,24.8,30.4,0,0
228,2010,84,13,1,18.4,20.0,22.8,30.4,0,0
229,2010,84,14,1,11.5,14.6,18.4,30.4,0,0
230,2010,84,15,1,16.0,17.6,20.0,30.4,0,0
231,2010,84,16,1,18.2,20.2,23.6,30.4,0,0
232,2010,84,17,1,17.8,19.0,21.0,30.4,0,0
233,2010,84,18,1,14.6,16.2,18.4,30.4,0,0
234,2010,84,19,1,16.6,17.8,19.6,30.4,0,0
235,2010,84,20,1,14.6,17.0,20.4,30.4,0,0
236,2010,84,21,1,15.4,17.6,20.8,30.4,0,0
237,2010,84,22,1,15.6,17.4,20.0,30.4,0,0
238,2010,84,23,1,16.3,17.6,19.6,30.4,0,0
239,2010,84,24,1,17.9,18.8,20.2,30.4,0,0
240,2010,84,25,1,16.3,17.2,18.6,30.4,0,0
241,2010,84,26,1,14.6,16.0,18.0,30.4,0,0
242,2010,84,27,1,14.9,17.0,20.0,30.4,0,0
243,2010,84,28,1,13.7,16.8,21.0,30.4,0,0
244,2010,84,29,1,12.1,15.0,18.6,30.4,0,0
245,2010,84,30,1,15.6,17.4,20.0,30.4,0,0
246,2010,84,31,1,16.4,18.0,20.4,30.4,0,0
247,2010,0,1,2,17.1,18.4,20.4,31.1,0,0
248,2010,0,2,2,18.9,20.4,23.0,31.1,0,0
249,2010,0,3,2,17.8,18.4,19.4,31.1,0,0
250,2010,0,4,2,16.6,17.4,18.6,31.1,0,0
251,2010,0,5,2,17.4,18.4,20.0,31.1,0,0
252,2010,0,6,2,19.5,20.2,21.4,31.1,0,0
253,2010,0,7,2,16.7,18.4,21.0,31.1,0,0
254,2010,0,8,2,17.7,18.6,20.0,31.1,0,0
255,2010,0,9,2,20.0,20.4,21.2,31.1,0,0
256,2010,0,10,2,21.1,21.8,23.2,31.1,0,0
257,2010,0,11,2,16.3,18.0,20.6,31.1,0,0
258,2010,0,12,2,18.3,19.0,20.2,31.1,0,0
259,2010,0,13,2,17.1,18.0,19.4,31.1,0,0
260,2010,0,14,2,15.3,18.0,22.0,31.1,0,0
261,2010,0,15,2,15.2,18.4,23.2,31.1,0,0
262,2010,0,16,2,10.4,15.4,21.4,31.1,0,0
263,2010,0,17,2,15.2,17.8,21.6,31.1,0,0
264,2010,0,18,2,13.7,15.4,17.9,31.1,0,0
265,2010,0,19,2,16.5,17.4,18.8,31.1,0,0
266,2010,0,20,2,17.7,19.0,21.2,31.1,0,0
267,2010,0,21,2,18.8,19.4,20.4,31.1,0,0
268,2010,0,22,2,20.7,21.2,22.2,31.1,0,0
269,2010,0,23,2,16.1,17.4,19.4,31.1,0,0
270,2010,0,24,2,18.7,19.2,20.0,31.1,0,0
271,2010,0,25,2,17.8,18.8,20.4,31.1,0,0
272,2010,0,26,2,19.2,20.2,22.0,31.1,0,0
273,2010,0,27,2,17.1,18.0,19.4,31.1,1,1
274,2010,0,28,2,15.8,17.4,19.8,31.1,1,1
275,2010,12,1,2,18.0,19.6,22.2,31.1,0,0
276,2010,12,2,2,16.4,18.6,22.0,31.1,0,0
277,2010,12,3,2,18.8,20.0,22.0,31.1,0,0
278,2010,12,4,2,19.0,20.0,21.8,31.1,0,0
279,2010,12,5,2,17.6,18.4,19.6,31.1,0,0
280,2010,12,6,2,19.7,20.6,22.2,31.1,0,0
281,2010,12,7,2,17.5,19.6,23.0,31.1,0,0
282,2010,12,8,2,18.6,19.8,21.8,31.1,0,0
283,2010,12,9,2,21.6,22.0,22.8,31.1,0,0
284,2010,12,10,2,20.5,21.4,23.0,31.1,0,0
285,2010,12,11,2,16.5,18.8,22.4,31.1,0,0
286,2010,12,12,2,18.6,20.0,22.4,31.1,0,0
287,2010,12,13,2,18.5,19.4,21.0,31.1,0,0
288,2010,12,14,2,13.7,17.4,22.6,31.1,0,0
289,2010,12,15,2,15.5,18.2,22.2,31.1,0,0
290,2010,12,16,2,10.2,15.8,22.6,31.1,0,0
291,2010,12,17,2,12.3,16.8,22.8,31.1,0,0
292,2010,12,18,2,14.1,16.6,20.0,31.1,0,0
293,2010,12,19,2,16.2,18.2,21.2,31.1,0,0
294,2010,12,20,2,17.4,18.4,20.0,31.1,0,0
295,2010,12,21,2,19.4,20.0,21.0,31.1,0,0
296,2010,12,22,2,22.6,23.2,24.4,31.1,0,0
297,2010,12,23,2,19.8,20.8,22.6,31.1,0,0
298,2010,12,24,2,18.6,20.0,22.4,31.1,0,0
299,2010,12,25,2,17.8,19.4,22.0,31.1,0,0
300,2010,12,26,2,17.8,19.4,22.0,31.1,0,0
301,2010,12,27,2,18.0,19.6,22.2,31.1,1,1
302,2010,12,28,2,15.8,19.0,24.0,31.1,1,1
303,2010,24,1,2,17.3,22.0,30.2,31.1,0,0
304,2010,24,2,2,17.6,22.0,29.8,31.1,0,0
305,2010,24,3,2,18.7,22.2,28.6,31.1,0,0
306,2010,24,4,2,18.9,22.4,28.8,31.1,0,0
307,2010,24,5,2,20.6,23.4,29.0,31.1,0,0
308,2010,24,6,2,20.9,24.4,31.6,31.1,0,0
309,2010,24,7,2,20.9,24.4,31.6,31.1,0,0
310,2010,24,8,2,23.7,25.4,29.2,31.1,0,0
311,2010,24,9,2,22.2,24.0,27.8,31.1,0,0
312,2010,24,10,2,22.1,24.0,28.0,31.1,0,0
313,2010,24,11,2,18.0,21.4,27.4,31.1,0,0
314,2010,24,12,2,17.1,20.8,27.0,31.1,0,0
315,2010,24,13,2,15.5,20.4,28.2,31.1,0,0
316,2010,24,14,2,8.7,18.0,29.6,31.1,0,0
317,2010,24,15,2,8.4,17.2,27.8,31.1,0,0
318,2010,24,16,2,5.7,17.4,30.6,31.1,0,0
319,2010,24,17,2,5.2,17.4,31.0,31.1,0,0
320,2010,24,18,2,15.5,21.4,31.0,31.1,0,0
321,2010,24,19,2,14.6,20.6,30.0,31.1,0,0
322,2010,24,20,2,16.4,21.6,30.4,31.1,0,0
323,2010,24,21,2,21.2,24.0,29.6,31.1,0,0
324,2010,24,22,2,16.0,21.4,30.4,31.1,0,0
325,2010,24,23,2,21.8,24.2,29.2,31.1,0,0
326,2010,24,24,2,16.8,21.0,28.0,31.1,0,0
327,2010,24,25,2,17.6,21.4,28.0,31.1,0,0
328,2010,24,26,2,17.4,22.2,30.6,31.1,0,0
329,2010,24,27,2,12.9,21.4,34.4,31.1,1,1
330,2010,24,28,2,12.2,21.4,35.2,31.1,1,1
331,2010,36,1,2,18.4,23.0,31.4,31.1,0,0
332,2010,36,2,2,21.4,24.4,30.6,31.1,0,0
333,2010,36,3,2,20.1,23.2,29.2,31.1,0,0
334,2010,36,4,2,21.6,24.0,29.0,31.1,0,0
335,2010,36,5,2,22.9,25.2,30.2,31.1,0,0
336,2010,36,6,2,23.5,26.4,33.0,31.1,0,0
337,2010,36,7,2,22.1,26.0,34.6,31.1,0,0
338,2010,36,8,2,24.9,26.6,30.6,31.1,0,0
339,2010,36,9,2,21.7,24.4,30.0,31.1,0,0
340,2010,36,10,2,20.0,23.0,28.8,31.1,0,0
341,2010,36,11,2,18.8,22.2,28.4,31.1,0,0
342,2010,36,12,2,18.7,22.4,29.2,31.1,0,0
343,2010,36,13,2,15.4,21.2,30.6,31.1,0,0
344,2010,36,14,2,15.5,21.4,31.0,31.1,0,0
345,2010,36,15,2,13.5,20.6,31.4,31.1,0,0
346,2010,36,16,2,12.1,20.0,31.4,31.1,0,0
347,2010,36,17,2,8.9,19.0,32.0,31.1,0,0
348,2010,36,18,2,13.9,21.0,32.0,31.1,0,0
349,2010,36,19,2,12.3,20.0,31.2,31.1,0,0
350,2010,36,20,2,15.0,21.4,31.8,31.1,0,0
351,2010,36,21,2,19.4,23.6,31.6,31.1,0,0
352,2010,36,22,2,19.3,23.2,30.6,31.1,0,0
353,2010,36,23,2,18.8,23.0,30.8,31.1,0,0
354,2010,36,24,2,18.4,22.0,28.4,31.1,0,0
355,2010,36,25,2,19.6,22.8,28.8,31.1,0,0
356,2010,36,26,2,21.5,25.0,32.4,31.1,0,0
357,2010,36,27,2,18.6,24.8,36.8,31.1,1,1
358,2010,36,28,2,18.2,24.2,35.6,31.1,1,1
359,2010,48,1,2,20.6,23.4,29.0,31.1,0,0
360,2010,48,2,2,19.4,22.6,28.6,31.1,0,0
361,2010,48,3,2,19.3,22.0,27.0,31.1,0,0
362,2010,48,4,2,20.3,22.6,27.0,31.1,0,0
363,2010,48,5,2,23.3,24.8,28.0,31.1,0,0
364,2010,48,6,2,20.8,24.2,31.0,31.1,0,0
365,2010,48,7,2,21.5,24.6,31.0,31.1,0,0
366,2010,48,8,2,24.6,25.6,28.0,31.1,0,0
367,2010,48,9,2,20.9,23.4,28.4,31.1,0,0
368,2010,48,10,2,18.7,21.2,25.6,31.1,0,0
369,2010,48,11,2,17.9,21.0,26.4,31.1,0,0
370,2010,48,12,2,17.1,21.2,28.2,31.1,0,0
371,2010,48,13,2,14.4,20.0,28.6,31.1,0,0
372,2010,48,14,2,9.4,17.8,28.4,31.1,0,0
373,2010,48,15,2,13.0,19.2,28.2,31.1,0,0
374,2010,48,16,2,11.8,19.2,29.6,31.1,0,0
375,2010,48,17,2,14.1,20.0,29.0,31.1,0,0
376,2010,48,18,2,16.1,21.4,30.2,31.1,0,0
377,2010,48,19,2,14.8,20.2,28.8,31.1,0,0
378,2010,48,20,2,19.7,23.4,30.6,31.1,0,0
379,2010,48,21,2,14.3,20.4,29.8,31.1,0,0
380,2010,48,22,2,11.9,19.2,29.4,31.1,0,0
381,2010,48,23,2,19.7,22.6,28.0,31.1,0,0
382,2010,48,24,2,16.6,20.4,26.6,31.1,0,0
383,2010,48,25,2,20.4,22.8,27.4,31.1,0,0
384,2010,48,26,2,20.7,23.4,28.8,31.1,0,0
385,2010,48,27,2,14.0,21.4,33.0,31.1,1,1
386,2010,48,28,2,13.9,21.6,33.8,31.1,1,1
387,2010,60,1,2,19.2,21.4,25.4,31.1,0,0
388,2010,60,2,2,20.4,22.0,25.0,31.1,0,0
389,2010,60,3,2,19.3,21.2,24.6,31.1,0,0
390,2010,60,4,2,20.0,21.6,24.6,31.1,0,0
391,2010,60,5,2,22.4,23.4,25.4,31.1,0,0
392,2010,60,6,2,20.9,23.0,27.2,31.1,0,0
393,2010,60,7,2,21.0,22.6,25.8,31.1,0,0
394,2010,60,8,2,22.9,23.8,25.8,31.1,0,0
395,2010,60,9,2,21.7,23.0,25.6,31.1,0,0
396,2010,60,10,2,16.9,19.6,24.0,31.1,0,0
397,2010,60,11,2,18.1,20.4,24.4,31.1,0,0
398,2010,60,12,2,17.9,20.4,24.6,31.1,0,0
399,2010,60,13,2,8.9,16.6,25.8,31.1,0,0
400,2010,60,14,2,11.8,17.6,25.4,31.1,0,0
401,2010,60,15,2,12.6,17.8,25.0,31.1,0,0
402,2010,60,16,2,10.4,17.4,26.4,31.1,0,0
403,2010,60,17,2,14.0,18.8,25.8,31.1,0,0
404,2010,60,18,2,18.1,21.0,26.0,31.1,0,0
405,2010,60,19,2,17.9,20.6,25.2,31.1,0,0
406,2010,60,20,2,18.5,21.2,26.0,31.1,0,0
407,2010,60,21,2,21.8,23.4,26.6,31.1,0,0
408,2010,60,22,2,20.5,22.4,26.0,31.1,0,0
409,2010,60,23,2,20.5,22.0,24.8,31.1,0,0
410,2010,60,24,2,15.5,18.8,23.8,31.1,0,0
411,2010,60,25,2,19.6,21.4,24.6,31.1,0,0
412,2010,60,26,2,19.5,22.0,26.6,31.1,0,0
413,2010,60,27,2,12.9,20.0,30.4,31.1,1,1
414,2010,60,28,2,12.5,19.8,30.4,31.1,1,1
415,2010,72,1,2,18.3,19.6,21.8,31.1,0,0
416,2010,72,2,2,18.5,19.6,21.4,31.1,0,0
417,2010,72,3,2,18.8,20.0,22.0,31.1,0,0
418,2010,72,4,2,18.4,19.6,21.6,31.1,0,0
419,2010,72,5,2,20.8,21.6,23.2,31.1,0,0
420,2010,72,6,2,17.9,19.6,22.4,31.1,0,0
421,2010,72,7,2,19.8,21.0,23.2,31.1,0,0
422,2010,72,8,2,21.6,22.4,24.0,31.1,0,0
423,2010,72,9,2,21.2,22.2,24.2,31.1,0,0
424,2010,72,10,2,15.2,18.4,23.2,31.1,0,0
425,2010,72,11,2,18.6,20.0,22.4,31.1,0,0
426,2010,72,12,2,19.2,20.6,23.0,31.1,0,0
427,2010,72,13,2,11.5,15.8,21.2,31.1,0,0
428,2010,72,14,2,13.1,17.2,22.8,31.1,0,0
429,2010,72,15,2,11.1,16.0,22.2,31.1,0,0
430,2010,72,16,2,11.8,16.6,22.8,31.1,0,0
431,2010,72,17,2,14.6,18.0,23.0,31.1,0,0
432,2010,72,18,2,18.1,19.4,21.6,31.1,0,0
433,2010,72,19,2,18.2,19.4,21.4,31.1,0,0
434,2010,72,20,2,18.5,19.6,21.4,31.1,0,0
435,2010,72,21,2,22.7,23.6,25.4,31.1,0,0
436,2010,72,22,2,18.8,20.8,24.4,31.1,0,0
437,2010,72,23,2,20.2,21.4,23.6,31.1,0,0
438,2010,72,24,2,18.7,20.2,22.8,31.1,0,0
439,2010,72,25,2,17.9,19.2,21.4,31.1,0,0
440,2010,72,26,2,18.4,19.8,22.2,31.1,0,0
441,2010,72,27,2,17.4,18.8,23.8,31.1,1,1
442,2010,72,28,2,15.0,19.0,25.0,31.1,1,1
443,2010,84,1,2,16.7,18.4,21.0,31.1,0,0
444,2010,84,2,2,19.3,20.4,22.4,31.1,0,0
445,2010,84,3,2,18.1,18.8,20.0,31.1,0,0
446,2010,84,4,2,17.6,18.4,19.6,31.1,0,0
447,2010,84,5,2,17.6,18.4,19.6,31.1,0,0
