INDEX,YEAR,HR,DT,MN,DPT,WBT,DBT
43003,2010,84,22,1,15.6,17.4,20
43003,2010,84,23,1,16.3,17.6,19.6
43003,2010,84,24,1,17.9,18.8,20.2
43003,2010,84,25,1,16.3,17.2,18.6
43003,2010,84,26,1,14.6,16,18
43003,2010,84,27,1,14.9,17,20
43003,2010,84,28,1,13.7,16.8,21
43003,2010,84,29,1,12.1,15,18.6
43003,2010,84,30,1,15.6,17.4,20
43003,2010,84,31,1,16.4,18,20.4
43003,2010,0,1,2,17.1,18.4,20.4
43003,2010,0,2,2,18.9,20.4,23
43003,2010,0,3,2,17.8,18.4,19.4
43003,2010,0,4,2,16.6,17.4,18.6
43003,2010,0,5,2,17.4,18.4,20
43003,2010,0,6,2,19.5,20.2,21.4
43003,2010,0,7,2,16.7,18.4,21
43003,2010,0,8,2,17.7,18.6,20
43003,2010,0,9,2,20,20.4,21.2
43003,2010,0,10,2,21.1,21.8,23.2
43003,2010,0,11,2,16.3,18,20.6
43003,2010,0,12,2,18.3,19,20.2
43003,2010,0,13,2,17.1,18,19.4
43003,2010,0,14,2,15.3,18,22
43003,2010,0,15,2,15.2,18.4,23.2
43003,2010,0,16,2,10.4,15.4,21.4
43003,2010,0,17,2,15.2,17.8,21.6
43003,2010,0,18,2,13.7,15.4,17.9
43003,2010,0,19,2,16.5,17.4,18.8
43003,2010,0,20,2,17.7,19,21.2
43003,2010,0,21,2,18.8,19.4,20.4
43003,2010,0,22,2,20.7,21.2,22.2
43003,2010,0,23,2,16.1,17.4,19.4
43003,2010,0,24,2,18.7,19.2,20
43003,2010,0,25,2,17.8,18.8,20.4
43003,2010,0,26,2,19.2,20.2,22
43003,2010,0,27,2,17.1,18,19.4
43003,2010,0,28,2,15.8,17.4,19.8
43003,2010,12,1,2,18,19.6,22.2
43003,2010,12,2,2,16.4,18.6,22
43003,2010,12,3,2,18.8,20,22
43003,2010,12,4,2,19,20,21.8
43003,2010,12,5,2,17.6,18.4,19.6
43003,2010,12,6,2,19.7,20.6,22.2
43003,2010,12,7,2,17.5,19.6,23
43003,2010,12,8,2,18.6,19.8,21.8
43003,2010,12,9,2,21.6,22,22.8
43003,2010,12,10,2,20.5,21.4,23
43003,2010,12,11,2,16.5,18.8,22.4
43003,2010,12,12,2,18.6,20,22.4
43003,2010,12,13,2,18.5,19.4,21
43003,2010,12,14,2,13.7,17.4,22.6
43003,2010,12,15,2,15.5,18.2,22.2
43003,2010,12,16,2,10.2,15.8,22.6
43003,2010,12,17,2,12.3,16.8,22.8
43003,2010,12,18,2,14.1,16.6,20
43003,2010,12,19,2,16.2,18.2,21.2
43003,2010,12,20,2,17.4,18.4,20
43003,2010,12,21,2,19.4,20,21
43003,2010,12,22,2,22.6,23.2,24.4
43003,2010,12,23,2,19.8,20.8,22.6
43003,2010,12,24,2,18.6,20,22.4
43003,2010,12,25,2,17.8,19.4,22
43003,2010,12,26,2,17.8,19.4,22
43003,2010,12,27,2,18,19.6,22.2
43003,2010,12,28,2,15.8,19,24
43003,2010,24,1,2,17.3,22,30.2
43003,2010,24,2,2,17.6,22,29.8
43003,2010,24,3,2,18.7,22.2,28.6
43003,2010,24,4,2,18.9,22.4,28.8
43003,2010,24,5,2,20.6,23.4,29
43003,2010,24,6,2,20.9,24.4,31.6
43003,2010,24,7,2,20.9,24.4,31.6
43003,2010,24,8,2,23.7,25.4,29.2
43003,2010,24,9,2,22.2,24,27.8
43003,2010,24,10,2,22.1,24,28
43003,2010,24,11,2,18,21.4,27.4
43003,2010,24,12,2,17.1,20.8,27
43003,2010,24,13,2,15.5,20.4,28.2
43003,2010,24,14,2,8.7,18,29.6
43003,2010,24,15,2,8.4,17.2,27.8
43003,2010,24,16,2,5.7,17.4,30.6
43003,2010,24,17,2,5.2,17.4,31
43003,2010,24,18,2,15.5,21.4,31
43003,2010,24,19,2,14.6,20.6,30
43003,2010,24,20,2,16.4,21.6,30.4
43003,2010,24,21,2,21.2,24,29.6
43003,2010,24,22,2,16,21.4,30.4
43003,2010,24,23,2,21.8,24.2,29.2
43003,2010,24,24,2,16.8,21,28
43003,2010,24,25,2,17.6,21.4,28
43003,2010,24,26,2,17.4,22.2,30.6
43003,2010,24,27,2,12.9,21.4,34.4
43003,2010,24,28,2,12.2,21.4,35.2
43003,2010,36,1,2,18.4,23,31.4
43003,2010,36,2,2,21.4,24.4,30.6
43003,2010,36,3,2,20.1,23.2,29.2
43003,2010,36,4,2,21.6,24,29
43003,2010,36,5,2,22.9,25.2,30.2
43003,2010,36,6,2,23.5,26.4,33
43003,2010,36,7,2,22.1,26,34.6
43003,2010,36,8,2,24.9,26.6,30.6
43003,2010,36,9,2,21.7,24.4,30
43003,2010,36,10,2,20,23,28.8
43003,2010,36,11,2,18.8,22.2,28.4
43003,2010,36,12,2,18.7,22.4,29.2
43003,2010,36,13,2,15.4,21.2,30.6
43003,2010,36,14,2,15.5,21.4,31
43003,2010,36,15,2,13.5,20.6,31.4
43003,2010,36,16,2,12.1,20,31.4
43003,2010,36,17,2,8.9,19,32
43003,2010,36,18,2,13.9,21,32
43003,2010,36,19,2,12.3,20,31.2
43003,2010,36,20,2,15,21.4,31.8
43003,2010,36,21,2,19.4,23.6,31.6
43003,2010,36,22,2,19.3,23.2,30.6
43003,2010,36,23,2,18.8,23,30.8
43003,2010,36,24,2,18.4,22,28.4
43003,2010,36,25,2,19.6,22.8,28.8
43003,2010,36,26,2,21.5,25,32.4
43003,2010,36,27,2,18.6,24.8,36.8
43003,2010,36,28,2,18.2,24.2,35.6
43003,2010,48,1,2,20.6,23.4,29
43003,2010,48,2,2,19.4,22.6,28.6
43003,2010,48,3,2,19.3,22,27
43003,2010,48,4,2,20.3,22.6,27
43003,2010,48,5,2,23.3,24.8,28
43003,2010,48,6,2,20.8,24.2,31
43003,2010,48,7,2,21.5,24.6,31
43003,2010,48,8,2,24.6,25.6,28
43003,2010,48,9,2,20.9,23.4,28.4
43003,2010,48,10,2,18.7,21.2,25.6
43003,2010,48,11,2,17.9,21,26.4
43003,2010,48,12,2,17.1,21.2,28.2
43003,2010,48,13,2,14.4,20,28.6
43003,2010,48,14,2,9.4,17.8,28.4
43003,2010,48,15,2,13,19.2,28.2
43003,2010,48,16,2,11.8,19.2,29.6
43003,2010,48,17,2,14.1,20,29
43003,2010,48,18,2,16.1,21.4,30.2
43003,2010,48,19,2,14.8,20.2,28.8
43003,2010,48,20,2,19.7,23.4,30.6
43003,2010,48,21,2,14.3,20.4,29.8
43003,2010,48,22,2,11.9,19.2,29.4
43003,2010,48,23,2,19.7,22.6,28
43003,2010,48,24,2,16.6,20.4,26.6
43003,2010,48,25,2,20.4,22.8,27.4
43003,2010,48,26,2,20.7,23.4,28.8
43003,2010,48,27,2,14,21.4,33
43003,2010,48,28,2,13.9,21.6,33.8
43003,2010,60,1,2,19.2,21.4,25.4
43003,2010,60,2,2,20.4,22,25
43003,2010,60,3,2,19.3,21.2,24.6
43003,2010,60,4,2,20,21.6,24.6
43003,2010,60,5,2,22.4,23.4,25.4
43003,2010,60,6,2,20.9,23,27.2
43003,2010,60,7,2,21,22.6,25.8
43003,2010,60,8,2,22.9,23.8,25.8
43003,2010,60,9,2,21.7,23,25.6
43003,2010,60,10,2,16.9,19.6,24
43003,2010,60,11,2,18.1,20.4,24.4
43003,2010,60,12,2,17.9,20.4,24.6
43003,2010,60,13,2,8.9,16.6,25.8
43003,2010,60,14,2,11.8,17.6,25.4
43003,2010,60,15,2,12.6,17.8,25
43003,2010,60,16,2,10.4,17.4,26.4
43003,2010,60,17,2,14,18.8,25.8
43003,2010,60,18,2,18.1,21,26
43003,2010,60,19,2,17.9,20.6,25.2
43003,2010,60,20,2,18.5,21.2,26
43003,2010,60,21,2,21.8,23.4,26.6
43003,2010,60,22,2,20.5,22.4,26
43003,2010,60,23,2,20.5,22,24.8
43003,2010,60,24,2,15.5,18.8,23.8
43003,2010,60,25,2,19.6,21.4,24.6
43003,2010,60,26,2,19.5,22,26.6
43003,2010,60,27,2,12.9,20,30.4
43003,2010,60,28,2,12.5,19.8,30.4
43003,2010,72,1,2,18.3,19.6,21.8
43003,2010,72,2,2,18.5,19.6,21.4
43003,2010,72,3,2,18.8,20,22
43003,2010,72,4,2,18.4,19.6,21.6
43003,2010,72,5,2,20.8,21.6,23.2
43003,2010,72,6,2,17.9,19.6,22.4
43003,2010,72,7,2,19.8,21,23.2
43003,2010,72,8,2,21.6,22.4,24
43003,2010,72,9,2,21.2,22.2,24.2
43003,2010,72,10,2,15.2,18.4,23.2
43003,2010,72,11,2,18.6,20,22.4
43003,2010,72,12,2,19.2,20.6,23
43003,2010,72,13,2,11.5,15.8,21.2
43003,2010,72,14,2,13.1,17.2,22.8
43003,2010,72,15,2,11.1,16,22.2
43003,2010,72,16,2,11.8,16.6,22.8
43003,2010,72,17,2,14.6,18,23
43003,2010,72,18,2,18.1,19.4,21.6
43003,2010,72,19,2,18.2,19.4,21.4
43003,2010,72,20,2,18.5,19.6,21.4
43003,2010,72,21,2,22.7,23.6,25.4
43003,2010,72,22,2,18.8,20.8,24.4
43003,2010,72,23,2,20.2,21.4,23.6
43003,2010,72,24,2,18.7,20.2,22.8
43003,2010,72,25,2,17.9,19.2,21.4
43003,2010,72,26,2,18.4,19.8,22.2
43003,2010,72,27,2,17.4,18.8,23.8
43003,2010,72,28,2,15,19,25
43003,2010,84,1,2,16.7,18.4,21
43003,2010,84,2,2,19.3,20.4,22.4
43003,2010,84,3,2,18.1,18.8,20
43003,2010,84,4,2,17.6,18.4,19.6
43003,2010,84,5,2,17.6,18.4,19.6
43003,2010,84,6,2,19.8,20.4,21.4
43003,2010,84,7,2,16.6,18.4,21.2
43003,2010,84,8,2,18.2,19.4,21.4
43003,2010,84,9,2,20.7,21.2,22.2
43003,2010,84,10,2,21.3,22.2,24
43003,2010,84,11,2,15.5,18,21.8
43003,2010,84,12,2,18.2,19.2,20.8
43003,2010,84,13,2,18.1,18.8,20
43003,2010,84,14,2,12.6,15.4,19
43003,2010,84,15,2,10.9,16,22.4
43003,2010,84,16,2,12.3,15,18.4
43003,2010,84,17,2,13.7,17.4,22.6
43003,2010,84,18,2,14.2,16.4,19.4
43003,2010,84,19,2,17.4,18.4,20
43003,2010,84,20,2,17.4,18.4,20
43003,2010,84,21,2,19.4,20,21
43003,2010,84,22,2,21.5,22,23
43003,2010,84,23,2,16.7,18.2,20.6
43003,2010,84,24,2,18.7,19.4,20.6
43003,2010,84,25,2,17.1,18.2,20
43003,2010,84,26,2,17.8,19.4,22
43003,2010,84,27,2,18.5,19.4,21
43003,2010,84,28,2,15.1,17.6,21.2
43003,2010,0,1,3,16.4,20,25.8
43003,2010,0,2,3,19.9,20.8,22.4
43003,2010,0,3,3,20.9,21.1,22.4
43003,2010,0,4,3,19.8,20.6,22
43003,2010,0,5,3,19.9,20.6,21.8
43003,2010,0,6,3,20.2,21,22.4
43003,2010,0,7,3,18.7,19.4,20.6
43003,2010,0,8,3,20,21.2,23.4
43003,2010,0,9,3,15.5,18,21.8
43003,2010,0,10,3,16.7,19,22.6
43003,2010,0,11,3,21.2,22.4,24.8
43003,2010,0,12,3,22.4,23.4,25.4
43003,2010,0,13,3,19.1,21.4,25.6
43003,2010,0,14,3,21.8,22.6,24.2
43003,2010,0,15,3,21.2,21.8,23
43003,2010,0,16,3,19.9,20.6,21.8
43003,2010,0,17,3,21.5,22,23
43003,2010,0,18,3,22.7,23.6,25.4
43003,2010,0,19,3,23.9,24.4,25.6
43003,2010,0,20,3,24.7,25.4,27
43003,2010,0,21,3,24.2,24.8,26.2
43003,2010,0,22,3,20,21,22.8
43003,2010,0,23,3,18.1,19.4,21.6
43003,2010,0,24,3,20.2,21,22.4
43003,2010,0,25,3,21.9,22.4,23.4
43003,2010,0,26,3,22.5,23,24
43003,2010,0,27,3,22.1,22.8,24.2
43003,2010,0,28,3,21.6,22.4,24
43003,2010,0,29,3,22.1,22.8,24.2
43003,2010,0,30,3,20.2,21,22.4
43003,2010,0,31,3,22.1,22.8,24.2
43003,2010,12,1,3,18.3,20.2,23.4
43003,2010,12,2,3,22.5,23.6,25.8
43003,2010,12,3,3,21.8,22.6,24.2
43003,2010,12,4,3,20.7,22,24.4
43003,2010,12,5,3,20.7,22,24.4
43003,2010,12,6,3,21.8,22.8,24.8
43003,2010,12,7,3,19.8,21,23.2
43003,2010,12,8,3,19.3,21.2,24.6
43003,2010,12,9,3,16.3,18.6,22.2
43003,2010,12,10,3,17,20.4,26
43003,2010,12,11,3,22.7,24.2,27.4
43003,2010,12,12,3,22.8,24.2,27.2
43003,2010,12,13,3,20,22.4,27
43003,2010,12,14,3,22.8,23.6,25.2
43003,2010,12,15,3,21.5,22.6,24.8
43003,2010,12,16,3,21.1,21.6,22.6
43003,2010,12,17,3,23,23.6,24.8
43003,2010,12,18,3,23.2,24.4,27
43003,2010,12,19,3,24,25.4,28.6
43003,2010,12,20,3,25,26,28.4
43003,2010,12,21,3,24.7,25.4,27
43003,2010,12,22,3,21.6,23.4,27
43003,2010,12,23,3,20,22.2,26.4
43003,2010,12,24,3,21.2,22.4,24.8
43003,2010,12,25,3,23.2,24,25.8
43003,2010,12,26,3,23,24,26.2
43003,2010,12,27,3,22.6,23.6,25.6
43003,2010,12,28,3,20.7,22.4,25.6
43003,2010,12,29,3,23.2,24.4,27
43003,2010,12,30,3,22.1,23,26.4
43003,2010,12,31,3,22.6,24,27
43003,2010,24,1,3,22.2,25.4,32.4
43003,2010,24,2,3,22.4,25,30.6
43003,2010,24,3,3,20.5,24,31
43003,2010,24,4,3,22.1,24.4,29.2
43003,2010,24,5,3,21,24,30
43003,2010,24,6,3,20.7,23.4,28.8
43003,2010,24,7,3,17.2,21.8,29.8
43003,2010,24,8,3,15.5,21.4,31
43003,2010,24,9,3,15.1,22,33.4
43003,2010,24,10,3,18,23.6,34
43003,2010,24,11,3,18,24,35.2
43003,2010,24,12,3,18,24,35.2
43003,2010,24,13,3,16.8,24,37
43003,2010,24,14,3,22.9,25.8,32.2
43003,2010,24,15,3,21.4,24.6,31.2
43003,2010,24,16,3,20.7,24,30.6
43003,2010,24,17,3,22.9,25.4,30.8
43003,2010,24,18,3,17.5,23.6,34.8
43003,2010,24,19,3,21.9,26,35
43003,2010,24,20,3,21.6,25.4,33.4
43003,2010,24,21,3,23.7,26.6,33.4
43003,2010,24,22,3,9.3,20.6,36
43003,2010,24,23,3,12.4,21,33.8
43003,2010,24,24,3,22.7,25.4,31.4
43003,2010,24,25,3,23,25.6,31.4
43003,2010,24,26,3,20.6,24.4,32
43003,2010,24,27,3,20.4,24.2,31.8
43003,2010,24,28,3,19,23.4,31.8
43003,2010,24,29,3,22,25.2,32
43003,2010,24,30,3,20.7,24.2,31.2
43003,2010,24,31,3,21.4,24.4,30.6
43003,2010,36,1,3,15.5,22.4,34
43003,2010,36,2,3,19.9,23.8,31.4
43003,2010,36,3,3,16.2,22,31.8
43003,2010,36,4,3,21.2,24.4,31
43003,2010,36,5,3,22.4,24.8,30
43003,2010,36,6,3,18.1,22.6,30.8
43003,2010,36,7,3,20,23.2,29.4
43003,2010,36,8,3,19.9,24,32
43003,2010,36,9,3,16.4,23,34.6
43003,2010,36,10,3,14,22.4,36
43003,2010,36,11,3,25.2,27,31.4
43003,2010,36,12,3,17.1,23.8,36
43003,2010,36,13,3,18.3,24.2,35.4
43003,2010,36,14,3,21.3,24.8,32
43003,2010,36,15,3,21.8,24.8,31.2
43003,2010,36,16,3,22.2,25,31
43003,2010,36,17,3,23.6,26,31.4
43003,2010,36,18,3,24.2,27.2,34.4
43003,2010,36,19,3,18.1,24,35
43003,2010,36,20,3,24.8,27,32.2
43003,2010,36,21,3,24.7,27,32.6
43003,2010,36,22,3,14.2,22.8,37
43003,2010,36,23,3,22,25.4,32.8
43003,2010,36,24,3,22,25.2,32
43003,2010,36,25,3,23.3,25.6,30.8
43003,2010,36,26,3,23.2,25.8,31.6
43003,2010,36,27,3,23.5,26,31.6
43003,2010,36,28,3,23,25.6,31.4
43003,2010,36,29,3,17,23,33.6
43003,2010,36,30,3,22.1,25,31.2
43003,2010,36,31,3,22.2,25.2,31.6
43003,2010,48,1,3,12.5,20.6,32.6
43003,2010,48,2,3,15.5,21.4,31
43003,2010,48,3,3,19.2,24.4,28.4
43003,2010,48,4,3,13.9,20,29.2
43003,2010,48,5,3,21.4,23.6,28
43003,2010,48,6,3,21.3,23.8,28.8
43003,2010,48,7,3,20.4,23,28
43003,2010,48,8,3,15.3,21,30.2
43003,2010,48,9,3,15.9,22,32.2
43003,2010,48,10,3,21.4,24.4,30.6
43003,2010,48,11,3,24.1,25.8,29.8
43003,2010,48,12,3,17.6,23.4,34
43003,2010,48,13,3,18.8,24,34
43003,2010,48,14,3,20.4,24,31.2
43003,2010,48,15,3,19.5,23,29.6
43003,2010,48,16,3,22.1,24.6,29.8
43003,2010,48,17,3,20.7,24,30.6
43003,2010,48,18,3,21.3,25.2,33.4
43003,2010,48,19,3,23.9,26.2,31.4
43003,2010,48,20,3,25.8,27,30
